City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Upata,VE,2022-02-05 16:35:01,8.0086,-62.3989,83.19,38,74,3.78
139,Katsuura,JP,2022-02-05 16:35:02,35.1333,140.3,34.11,39,51,4.09
140,Klaeng,TH,2022-02-05 16:35:02,12.7797,101.6483,84.94,100,27,2.73
141,Bauchi,NG,2022-02-05 16:35:03,10.5,10.0,79.65,16,0,6.44
142,Khvastovichi,RU,2022-02-05 16:35:03,53.4694,35.0941,21.34,95,99,8.86
143,Port-Gentil,GA,2022-02-05 16:35:03,-0.7193,8.7815,80.38,75,9,9.75
144,Lompoc,US,2022-02-05 16:33:07,34.6391,-120.4579,64.13,64,0,6.91
145,Antofagasta,CL,2022-02-05 16:35:04,-23.65,-70.4,70.21,64,15,8.86
146,Abu Dhabi,AE,2022-02-05 16:30:07,24.4667,54.3667,71.71,67,0,3.0
147,Upernavik,GL,2022-02-05 16:27:59,72.7868,-56.1549,0.88,97,100,3.42
148,Meulaboh,ID,2022-02-05 16:35:05,4.1363,96.1285,75.97,88,100,6.49
149,Sao Miguel Do Araguaia,BR,2022-02-05 16:35:05,-13.275,-50.1628,87.24,61,78,0.31
150,Kruisfontein,ZA,2022-02-05 16:34:08,-34.0033,24.7314,68.88,75,89,20.45
151,Bengkulu,ID,2022-02-05 16:29:00,-3.8004,102.2655,74.5,96,100,7.16
152,Bose,IT,2022-02-05 16:35:06,45.4612,8.0137,54.79,67,1,1.9
153,Poltava,UA,2022-02-05 16:31:31,49.5937,34.5407,22.77,92,100,9.73
154,Juneau,US,2022-02-05 16:35:06,58.3019,-134.4197,39.85,94,100,12.66
155,Manjacaze,MZ,2022-02-05 16:35:07,-24.7117,33.8828,74.59,83,27,9.86
156,Bethel,US,2022-02-05 16:35:07,41.3712,-73.414,26.49,77,75,3.0
157,Clinton,US,2022-02-05 16:35:08,42.587,-82.9199,22.06,75,20,1.99
158,Udachnyy,RU,2022-02-05 16:34:37,66.4167,112.4,-32.08,100,80,3.47
159,Sangar,RU,2022-02-05 16:35:08,63.9242,127.4739,-33.66,99,100,3.11
160,Zeya,RU,2022-02-05 16:35:08,53.75,127.2667,-3.39,90,96,4.32
161,Tilichiki,RU,2022-02-05 16:33:11,60.4667,166.1,4.91,80,100,7.61
162,Kavarna,BG,2022-02-05 16:35:09,43.4333,28.3333,43.88,68,33,8.14
163,Qianan,CN,2022-02-05 16:35:09,44.9932,124.0581,-8.03,91,76,5.21
164,Adrar,MR,2022-02-05 16:35:10,20.5022,-10.0711,82.71,6,34,8.34
165,Sao Filipe,CV,2022-02-05 16:30:28,14.8961,-24.4956,75.34,67,0,9.37
166,Ambilobe,MG,2022-02-05 16:35:11,-13.2,49.05,74.46,93,98,7.14
167,Raga,SS,2022-02-05 16:29:08,8.4596,25.678,80.33,15,100,6.58
168,Cambui,BR,2022-02-05 16:35:11,-22.6122,-46.0575,70.29,95,100,4.41
169,Semnan,IR,2022-02-05 16:35:12,35.5729,53.3971,46.24,31,20,4.61
170,Lensk,RU,2022-02-05 16:33:09,60.7253,114.9278,5.67,96,92,4.38
171,Leo,BF,2022-02-05 16:35:12,11.1,-2.1,93.06,8,5,5.06
172,Constitucion,CL,2022-02-05 16:35:13,-35.3333,-72.4167,72.37,53,0,15.28
173,Thompson,CA,2022-02-05 16:28:02,55.7435,-97.8558,-36.24,67,20,0.0
174,San Patricio,US,2022-02-05 16:33:15,28.017,-97.5169,42.17,38,2,6.62
175,Herat,AF,2022-02-05 16:35:13,34.5,62.0,50.68,40,100,2.59
176,Derzhavinsk,KZ,2022-02-05 16:35:14,51.1,66.3167,15.53,82,100,12.03
177,Ruteng,ID,2022-02-05 16:35:14,-8.6136,120.4721,63.0,90,95,1.48
178,Chitungwiza,ZW,2022-02-05 16:35:15,-18.0127,31.0756,67.44,92,79,11.65
179,Chuy,UY,2022-02-05 16:36:15,-33.6971,-53.4616,83.12,50,83,8.52
180,Husavik,IS,2022-02-05 16:30:34,66.0449,-17.3389,12.11,96,99,15.1
